,SP_surplus,target_lag_1,SE_surplus,DE_surplus,sin_hour,IT_green_energy_lag_1,SP_green_energy,DK_green_energy,SP_surplus_lag_1,DK_surplus,HU_surplus_lag_1,IT_green_energy_lag_24,IT_green_energy,PO_surplus,SP_green_energy_lag_1,DE_green_energy,HU_Load_monthly_mean,HU_surplus,target_lag_24,PO_green_energy_lag_24,DK_surplus_lag_2,PO_surplus_lag_3,NE_surplus,HU_surplus_lag_24,HU_green_energy_lag_24,target
2022-01-02 04:00:00,-35660.0,3.0,-4360.0,-24698.0,0.866,5212.0,37752.0,3700.0,-31224.0,440.0,-13760.0,5500.0,5064.0,-10250.0,39512.0,137755.0,16360.0,-14170.0,3.0,4376.0,754.0,-10090.0,-23717.0,-13380.0,1309.0,3.0
2022-01-02 05:00:00,-40912.0,3.0,-4316.0,-29187.0,0.966,5064.0,35980.0,3664.0,-35660.0,208.0,-14170.0,6224.0,4844.0,-10536.0,37752.0,133409.0,16350.0,-15150.0,3.0,4304.0,665.0,-9720.0,-25063.0,-13510.0,1450.0,3.0
2022-01-02 06:00:00,-44028.0,3.0,-4584.0,-30587.0,1.0,4844.0,35716.0,3640.0,-40912.0,-83.0,-15150.0,7356.0,5736.0,-10810.0,35980.0,141328.0,16370.0,-15780.0,3.0,4370.0,440.0,-9940.0,-26301.0,-13410.0,1627.0,3.0
2022-01-02 07:00:00,-44928.0,3.0,-4196.0,-34426.0,0.966,5736.0,41196.0,3496.0,-44028.0,-408.0,-15780.0,8640.0,6964.0,-11200.0,35716.0,150776.0,16420.0,-15940.0,3.0,4540.0,208.0,-10250.0,-28387.0,-12820.0,2448.0,3.0
2022-01-02 08:00:00,-43292.0,3.0,-4356.0,-34816.0,0.866,6964.0,49852.0,3340.0,-44928.0,-756.0,-15940.0,9140.0,8390.0,-11624.0,41196.0,160678.0,16480.0,-15220.0,3.0,4400.0,-83.0,-10536.0,-29667.0,-11950.0,3596.0,3.0
2022-01-02 09:00:00,-41380.0,3.0,-4616.0,-31244.0,0.707,8390.0,55124.0,2976.0,-43292.0,-1190.0,-15220.0,9820.0,9410.0,-11720.0,49852.0,173788.0,16530.0,-14664.0,3.0,4264.0,-408.0,-10810.0,-29575.0,-11840.0,4204.0,3.0
2022-01-02 10:00:00,-39220.0,3.0,-4784.0,-30777.0,0.5,9410.0,57588.0,2636.0,-41380.0,-1563.0,-14664.0,10400.0,10100.0,-11950.0,55124.0,186025.0,16590.0,-14870.0,3.0,4014.0,-756.0,-11200.0,-30957.0,-12170.0,4332.0,3.0
2022-01-02 11:00:00,-40880.0,3.0,-5176.0,-24706.0,0.2588,10100.0,57812.0,2180.0,-39220.0,-2032.0,-14870.0,10370.0,10020.0,-12690.0,57588.0,192390.0,16660.0,-15140.0,3.0,3572.0,-1190.0,-11624.0,-31278.0,-13120.0,3844.0,3.0
2022-01-02 12:00:00,-43160.0,3.0,-5356.0,-18226.0,0.0,10020.0,56524.0,2212.0,-40880.0,-1978.0,-15140.0,9880.0,8620.0,-13020.0,57812.0,194469.0,16720.0,-16180.0,3.0,3104.0,-1563.0,-11720.0,-30588.0,-14170.0,3026.0,3.0
2022-01-02 13:00:00,-40928.0,3.0,-5556.0,-17488.0,-0.2588,8620.0,54548.0,2494.0,-43160.0,-1807.0,-16180.0,7776.0,7310.0,-13040.0,56524.0,193423.0,16780.0,-17580.0,3.0,2656.0,-2032.0,-11950.0,-31223.0,-15360.0,2128.0,3.0
2022-01-02 14:00:00,-46320.0,3.0,-5884.0,-20149.0,-0.5,7310.0,46712.0,3072.0,-40928.0,-1448.0,-17580.0,7108.0,6960.0,-13090.0,54548.0,194282.0,16860.0,-19020.0,3.0,2368.0,-1978.0,-12690.0,-32398.0,-16530.0,1517.0,3.0
2022-01-02 15:00:00,-59772.0,3.0,-6176.0,-28865.0,-0.707,6960.0,34796.0,3578.0,-46320.0,-1295.0,-19020.0,8810.0,9464.0,-12200.0,46712.0,196760.0,16980.0,-20660.0,3.0,2428.0,-1807.0,-13020.0,-36004.0,-17740.0,1419.0,3.0
2022-01-02 16:00:00,-72096.0,3.0,-6230.0,-37294.0,-0.866,9464.0,31764.0,4188.0,-59772.0,-546.0,-20660.0,9000.0,9810.0,-11720.0,34796.0,197928.0,17090.0,-20770.0,3.0,2132.0,-1448.0,-13040.0,-39608.0,-17740.0,1427.0,3.0
2022-01-02 17:00:00,-72408.0,3.0,-6080.0,-33681.0,-0.966,9810.0,36820.0,4796.0,-72096.0,364.0,-20770.0,9280.0,9870.0,-11820.0,31764.0,200611.0,17200.0,-20670.0,3.0,1990.0,-1295.0,-13090.0,-38492.0,-17820.0,1287.0,3.0
2022-01-02 18:00:00,-74576.0,3.0,-5544.0,-29114.0,-1.0,9870.0,38396.0,4884.0,-72408.0,702.0,-20670.0,8510.0,9440.0,-11730.0,36820.0,198091.0,17280.0,-20420.0,3.0,1944.0,-546.0,-12200.0,-36715.0,-17920.0,1154.0,3.0
2022-01-02 19:00:00,-75280.0,3.0,-5532.0,-19955.0,-0.966,9440.0,36968.0,4730.0,-74576.0,754.0,-20420.0,7416.0,7492.0,-10970.0,38396.0,196430.0,17360.0,-19660.0,3.0,1715.0,364.0,-11720.0,-34703.0,-17540.0,1163.0,3.0
2022-01-02 20:00:00,-72372.0,3.0,-5296.0,-20916.0,-0.866,7492.0,34228.0,4384.0,-75280.0,613.0,-19660.0,5956.0,7250.0,-10280.0,36968.0,187778.0,17400.0,-18640.0,3.0,1625.0,702.0,-11820.0,-32243.0,-17040.0,1108.0,3.0
2022-01-02 21:00:00,-66436.0,3.0,-6140.0,-18876.0,-0.707,7250.0,31704.0,3948.0,-72372.0,389.0,-18640.0,5110.0,6940.0,-9220.0,34228.0,181714.0,17420.0,-17630.0,3.0,1393.0,754.0,-11730.0,-30272.0,-16290.0,1021.0,3.0
2022-01-02 22:00:00,-64112.0,3.0,-7144.0,-11353.0,-0.5,6940.0,27088.0,3616.0,-66436.0,221.0,-17630.0,5044.0,7732.0,-8424.0,31704.0,177058.0,17420.0,-16450.0,3.0,1765.0,613.0,-10970.0,-27292.0,-15384.0,999.0,3.0
2022-01-02 23:00:00,-57280.0,3.0,-6972.0,-2157.0,-0.2588,7732.0,27412.0,3424.0,-64112.0,79.0,-16450.0,5320.0,7830.0,-8280.0,27088.0,177722.0,17400.0,-15310.0,3.0,2296.0,389.0,-10280.0,-26000.0,-14510.0,964.0,3.0
2022-01-03 00:00:00,-51396.0,3.0,-6910.0,-368.0,0.0,7830.0,29216.0,3272.0,-57280.0,-35.0,-15310.0,5292.0,7920.0,-8376.0,27412.0,172760.0,17360.0,-14500.0,3.0,2740.0,221.0,-9220.0,-26101.0,-14010.0,893.0,3.0
2022-01-03 01:00:00,-47660.0,3.0,-6988.0,-2993.0,0.2588,7920.0,31056.0,3296.0,-51396.0,12.0,-14500.0,5510.0,8100.0,-8810.0,29216.0,167692.0,17330.0,-14030.0,3.0,3180.0,79.0,-8424.0,-25615.0,-13610.0,734.0,3.0
2022-01-03 02:00:00,-46056.0,3.0,-6950.0,-6138.0,0.5,8100.0,32960.0,3700.0,-47660.0,339.0,-14030.0,5612.0,8300.0,-9700.0,31056.0,167340.0,17280.0,-14216.0,3.0,3608.0,-35.0,-8280.0,-25643.0,-13496.0,645.0,3.0
2022-01-03 03:00:00,-50140.0,3.0,-6932.0,-10575.0,0.707,8300.0,31924.0,4310.0,-46056.0,728.0,-14216.0,5212.0,8370.0,-11170.0,32960.0,171197.0,17260.0,-15060.0,3.0,3776.0,12.0,-8376.0,-25759.0,-13760.0,674.0,3.0
2022-01-03 04:00:00,-60608.0,3.0,-6396.0,-14355.0,0.866,8370.0,31268.0,4810.0,-50140.0,605.0,-15060.0,5064.0,6550.0,-14330.0,31924.0,184861.0,17280.0,-17000.0,3.0,3982.0,339.0,-8810.0,-27540.0,-14170.0,842.0,3.0
2022-01-03 05:00:00,-72120.0,3.0,-6130.0,-27491.0,0.966,6550.0,32500.0,5030.0,-60608.0,261.0,-17000.0,4844.0,7130.0,-16750.0,31268.0,201144.0,17340.0,-20100.0,3.0,4006.0,728.0,-9700.0,-31006.0,-15150.0,971.0,3.0
2022-01-03 06:00:00,-78072.0,3.0,-6424.0,-47803.0,1.0,7130.0,36112.0,5160.0,-72120.0,83.0,-20100.0,5736.0,9250.0,-17730.0,32500.0,203075.0,17440.0,-20830.0,3.0,4156.0,605.0,-11170.0,-35849.0,-15780.0,1106.0,3.0
2022-01-03 07:00:00,-74536.0,3.0,-6470.0,-57788.0,0.966,9250.0,46312.0,5750.0,-78072.0,681.0,-20830.0,6964.0,10530.0,-18480.0,36112.0,204140.0,17540.0,-21220.0,3.0,4656.0,261.0,-14330.0,-39881.0,-15940.0,1921.0,3.0
2022-01-03 08:00:00,-66948.0,3.0,-6590.0,-59306.0,0.866,10530.0,57476.0,6024.0,-74536.0,834.0,-21220.0,8390.0,10720.0,-18160.0,46312.0,207695.0,17630.0,-21700.0,3.0,5090.0,83.0,-16750.0,-40967.0,-15220.0,3140.0,3.0
2022-01-03 09:00:00,-59876.0,3.0,-6560.0,-60476.0,0.707,10720.0,63276.0,6270.0,-66948.0,1026.0,-21700.0,9410.0,10820.0,-18060.0,57476.0,212278.0,17740.0,-21800.0,3.0,5308.0,681.0,-17730.0,-39721.0,-14664.0,3862.0,3.0
2022-01-03 10:00:00,-54336.0,3.0,-6612.0,-60328.0,0.5,10820.0,67660.0,6384.0,-59876.0,1248.0,-21800.0,10100.0,10590.0,-17730.0,63276.0,218945.0,17860.0,-21300.0,3.0,5460.0,834.0,-18480.0,-38167.0,-14870.0,3976.0,3.0
2022-01-03 11:00:00,-50220.0,3.0,-6550.0,-62305.0,0.2588,10590.0,71720.0,6390.0,-54336.0,1312.0,-21300.0,10020.0,10330.0,-17700.0,67660.0,217933.0,17950.0,-21060.0,3.0,5320.0,1026.0,-18160.0,-38483.0,-15140.0,3616.0,3.0
2022-01-03 12:00:00,-46668.0,3.0,-6450.0,-66235.0,0.0,10330.0,73664.0,6308.0,-50220.0,1266.0,-21060.0,8620.0,9420.0,-17580.0,71720.0,209299.0,18030.0,-20200.0,3.0,4892.0,1248.0,-18060.0,-38920.0,-16180.0,2666.0,3.0
2022-01-03 13:00:00,-42244.0,3.0,-6636.0,-74524.0,-0.2588,9420.0,74424.0,6376.0,-46668.0,1357.0,-20200.0,7310.0,8510.0,-17460.0,73664.0,198213.0,18110.0,-21010.0,3.0,4984.0,1312.0,-17730.0,-40402.0,-17580.0,1606.0,3.0
2022-01-03 14:00:00,-47296.0,3.0,-6630.0,-78391.0,-0.5,8510.0,67776.0,6360.0,-42244.0,1161.0,-21010.0,6960.0,8320.0,-17980.0,74424.0,190058.0,18190.0,-22050.0,3.0,5540.0,1266.0,-17700.0,-42117.0,-19020.0,920.0,3.0
2022-01-03 15:00:00,-59896.0,3.0,-6492.0,-81416.0,-0.707,8320.0,57200.0,6480.0,-47296.0,947.0,-22050.0,9464.0,9730.0,-18050.0,67776.0,192428.0,18290.0,-23140.0,3.0,6536.0,1357.0,-17580.0,-44851.0,-20660.0,776.0,3.0
2022-01-03 16:00:00,-69480.0,3.0,-6080.0,-90799.0,-0.866,9730.0,54808.0,6150.0,-59896.0,825.0,-23140.0,9810.0,9460.0,-18030.0,57200.0,190516.0,18380.0,-23060.0,3.0,7030.0,1161.0,-17460.0,-47854.0,-20770.0,769.0,3.0
2022-01-03 17:00:00,-69336.0,3.0,-5530.0,-93606.0,-0.966,9460.0,58036.0,5584.0,-69480.0,610.0,-23060.0,9870.0,8680.0,-18220.0,54808.0,185030.0,18460.0,-22780.0,3.0,6948.0,947.0,-17980.0,-45460.0,-20670.0,720.0,3.0
2022-01-03 18:00:00,-69700.0,3.0,-5256.0,-92469.0,-1.0,8680.0,59524.0,5040.0,-69336.0,455.0,-22780.0,9440.0,7750.0,-17870.0,58036.0,176424.0,18530.0,-22450.0,3.0,6650.0,825.0,-18050.0,-43209.0,-20420.0,747.0,3.0
2022-01-03 19:00:00,-66568.0,3.0,-5036.0,-85413.0,-0.966,7750.0,60348.0,4452.0,-69700.0,135.0,-22450.0,7492.0,6640.0,-16420.0,59524.0,166359.0,18600.0,-21760.0,3.0,6556.0,610.0,-18030.0,-41120.0,-19660.0,790.0,3.0
2022-01-03 20:00:00,-56240.0,3.0,-4492.0,-77056.0,-0.866,6640.0,60148.0,4080.0,-66568.0,40.0,-21760.0,7250.0,6308.0,-15010.0,60348.0,161303.0,18640.0,-20830.0,3.0,6616.0,455.0,-18220.0,-39301.0,-18640.0,832.0,3.0
2022-01-03 21:00:00,-47648.0,3.0,-4056.0,-71345.0,-0.707,6308.0,58172.0,3692.0,-56240.0,-66.0,-20830.0,6940.0,6230.0,-13630.0,60148.0,153796.0,18670.0,-19870.0,3.0,6496.0,135.0,-17870.0,-37267.0,-17630.0,836.0,3.0
2022-01-03 22:00:00,-39516.0,3.0,-4776.0,-65480.0,-0.5,6230.0,59584.0,3238.0,-47648.0,-339.0,-19870.0,7732.0,6130.0,-12860.0,58172.0,145973.0,18690.0,-18780.0,3.0,6496.0,40.0,-16420.0,-35170.0,-16450.0,867.0,3.0
2022-01-03 23:00:00,-28296.0,3.0,-5012.0,-52462.0,-0.2588,6130.0,63644.0,2932.0,-39516.0,-555.0,-18780.0,7830.0,6036.0,-12456.0,59584.0,147704.0,18670.0,-17550.0,3.0,6164.0,-66.0,-15010.0,-33649.0,-15310.0,1029.0,3.0
2022-01-04 00:00:00,-18412.0,3.0,-5332.0,-50071.0,0.0,6036.0,69108.0,2736.0,-28296.0,-693.0,-17550.0,7920.0,6130.0,-12430.0,63644.0,142454.0,18660.0,-16640.0,3.0,5850.0,-339.0,-13630.0,-33439.0,-14500.0,1232.0,3.0
2022-01-04 01:00:00,-14768.0,3.0,-5284.0,-59136.0,0.2588,6130.0,70612.0,2788.0,-18412.0,-666.0,-16640.0,8100.0,6684.0,-12420.0,69108.0,131827.0,18640.0,-15920.0,3.0,5510.0,-555.0,-12860.0,-32781.0,-14030.0,1219.0,3.0
2022-01-04 02:00:00,-14940.0,3.0,-5100.0,-70351.0,0.5,6684.0,70116.0,2744.0,-14768.0,-784.0,-15920.0,8300.0,7296.0,-12970.0,70612.0,122773.0,18610.0,-15690.0,3.0,5120.0,-693.0,-12456.0,-33609.0,-14216.0,1006.0,3.0
2022-01-04 03:00:00,-20984.0,3.0,-5360.0,-87834.0,0.707,7296.0,66756.0,2476.0,-14940.0,-1241.0,-15690.0,8370.0,7380.0,-14010.0,70116.0,111458.0,18600.0,-16450.0,3.0,4560.0,-666.0,-12430.0,-35263.0,-15060.0,960.0,3.0
2022-01-04 04:00:00,-34284.0,3.0,-5876.0,-109973.0,0.866,7380.0,61988.0,2520.0,-20984.0,-1734.0,-16450.0,6550.0,7090.0,-16590.0,66756.0,103242.0,18610.0,-18400.0,3.0,4420.0,-784.0,-12420.0,-37645.0,-17000.0,1144.0,3.0
2022-01-04 05:00:00,-46816.0,3.0,-6790.0,-136501.0,0.966,7090.0,61076.0,2768.0,-34284.0,-2108.0,-18400.0,7130.0,7690.0,-18750.0,61988.0,99290.0,18640.0,-21280.0,3.0,4176.0,-1241.0,-12970.0,-42563.0,-20100.0,982.0,3.0
2022-01-04 06:00:00,-49360.0,3.0,-6784.0,-151637.0,1.0,7690.0,66612.0,2726.0,-46816.0,-2480.0,-21280.0,9250.0,9144.0,-19730.0,61076.0,102634.0,18700.0,-22110.0,3.0,4404.0,-1734.0,-14010.0,-48139.0,-20830.0,1426.0,3.0
2022-01-04 07:00:00,-49736.0,3.0,-6800.0,-163097.0,0.966,9144.0,72100.0,2848.0,-49360.0,-2388.0,-22110.0,10530.0,10424.0,-20420.0,66612.0,102328.0,18750.0,-21470.0,3.0,4456.0,-2108.0,-16590.0,-53428.0,-21220.0,1768.0,3.0
2022-01-04 08:00:00,-47604.0,3.0,-6810.0,-165416.0,0.866,10424.0,77616.0,3016.0,-49736.0,-2296.0,-21470.0,10720.0,11730.0,-20860.0,72100.0,104276.0,18800.0,-20700.0,3.0,4776.0,-2480.0,-18750.0,-54397.0,-21700.0,1798.0,3.0
2022-01-04 09:00:00,-43448.0,3.0,-7030.0,-163291.0,0.707,11730.0,81972.0,3308.0,-47604.0,-2024.0,-20700.0,10820.0,12760.0,-21170.0,77616.0,109686.0,18860.0,-20690.0,3.0,5296.0,-2388.0,-19730.0,-55867.0,-21800.0,1982.0,3.0
2022-01-04 10:00:00,-41572.0,3.0,-6840.0,-167324.0,0.5,12760.0,83596.0,3648.0,-43448.0,-1613.0,-20690.0,10590.0,12950.0,-21660.0,81972.0,111281.0,18910.0,-20940.0,3.0,5884.0,-2296.0,-20420.0,-55055.0,-21300.0,2502.0,3.0
2022-01-04 11:00:00,-42244.0,3.0,-6770.0,-167243.0,0.2588,12950.0,83864.0,3524.0,-41572.0,-1702.0,-20940.0,10330.0,12770.0,-21740.0,83596.0,110563.0,18980.0,-21650.0,3.0,5970.0,-2024.0,-20860.0,-54547.0,-21060.0,2596.0,3.0
2022-01-04 12:00:00,-38300.0,3.0,-6800.0,-163240.0,0.0,12770.0,86792.0,3734.0,-42244.0,-1454.0,-21650.0,9420.0,12424.0,-21540.0,83864.0,110222.0,19020.0,-21570.0,3.0,5788.0,-1613.0,-21170.0,-53724.0,-20200.0,2796.0,3.0
2022-01-04 13:00:00,-36248.0,3.0,-7696.0,-161906.0,-0.2588,12424.0,85372.0,3860.0,-38300.0,-1231.0,-21570.0,8510.0,11060.0,-21440.0,86792.0,109492.0,19090.0,-21860.0,3.0,5960.0,-1702.0,-21660.0,-53450.0,-21010.0,2118.0,3.0
2022-01-04 14:00:00,-37284.0,3.0,-8264.0,-158474.0,-0.5,11060.0,83468.0,3892.0,-36248.0,-1408.0,-21860.0,8320.0,10020.0,-21820.0,85372.0,113225.0,19150.0,-22340.0,3.0,5984.0,-1454.0,-21740.0,-54536.0,-22050.0,1473.0,3.0
2022-01-04 15:00:00,-42624.0,3.0,-8536.0,-156269.0,-0.707,10020.0,79328.0,4116.0,-37284.0,-1524.0,-22340.0,9730.0,10860.0,-21460.0,83468.0,118839.0,19220.0,-23060.0,3.0,5840.0,-1231.0,-21540.0,-54740.0,-23140.0,1206.0,3.0
2022-01-04 16:00:00,-51604.0,3.0,-8230.0,-156224.0,-0.866,10860.0,74756.0,4436.0,-42624.0,-994.0,-23060.0,9460.0,10470.0,-20720.0,79328.0,124073.0,19260.0,-22740.0,3.0,5532.0,-1408.0,-21440.0,-58062.0,-23060.0,1055.0,3.0
2022-01-04 17:00:00,-51728.0,3.0,-7644.0,-158886.0,-0.966,10470.0,76612.0,5024.0,-51604.0,-124.0,-22740.0,8680.0,10104.0,-20370.0,74756.0,119108.0,19330.0,-22480.0,3.0,5110.0,-1524.0,-21820.0,-53086.0,-22780.0,981.0,3.0
2022-01-04 18:00:00,-49476.0,3.0,-7176.0,-150130.0,-1.0,10104.0,81536.0,5356.0,-51728.0,500.0,-22480.0,7750.0,9200.0,-19540.0,76612.0,120040.0,19380.0,-22050.0,3.0,4984.0,-994.0,-21460.0,-48389.0,-22450.0,882.0,3.0
2022-01-04 19:00:00,-44544.0,3.0,-6600.0,-134647.0,-0.966,9200.0,83584.0,5556.0,-49476.0,961.0,-22050.0,6640.0,8790.0,-18000.0,81536.0,119765.0,19410.0,-21220.0,3.0,4896.0,-124.0,-20720.0,-45303.0,-21760.0,768.0,3.0
2022-01-04 20:00:00,-35856.0,3.0,-5920.0,-125098.0,-0.866,8790.0,82572.0,5544.0,-44544.0,1221.0,-21220.0,6308.0,8480.0,-16660.0,83584.0,117422.0,19440.0,-20400.0,3.0,4812.0,500.0,-20370.0,-41231.0,-20830.0,824.0,3.0
2022-01-04 21:00:00,-29516.0,3.0,-5250.0,-109805.0,-0.707,8480.0,78340.0,5440.0,-35856.0,1403.0,-20400.0,6230.0,8270.0,-15180.0,82572.0,120431.0,19460.0,-19360.0,3.0,4880.0,961.0,-19540.0,-37135.0,-19870.0,857.0,3.0
